filepath,label,root,split
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug10_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcousticGuitar_RodrigoMercador_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug10_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug11_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcousticGuitar_RodrigoMercador_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcousticGuitar_RodrigoMercador_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug10_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug10_2.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug11_2.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug11_3.wav,minor,E,test
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcousticGuitar_RodrigoMercador_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug17_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug13_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug12_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug16_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug15_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug13_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug13_3.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug15_4.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug16_1.wav,minor,E,test
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug16_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug14_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug14_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug12_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug14_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug13_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug14_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug11_4.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug12_3.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug15_2.wav,minor,E,test
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug16_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug12_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug15_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug19_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug19_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug17_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug18_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug20_1.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug1_2.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug20_2.wav,minor,E,test
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug1_1.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug20_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug21_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug18_2.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug18_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug18_4.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug17_3.wav,minor,E,train
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug19_1.wav,minor,E,val
/content/drive/MyDrive/chord_trainer/training/E_minor/Em_AcusticPlug21_1.wav,minor,E,val
